ID,캐릭터이름,대사,
1,,@으... @,인트로
2,,@으으윽... 머리가 <bounce>깨질것 같아</bounce>.@,
3,,@.....음?@,
4,,@여긴 어디지?@,
5,,@그보다 앞의 저건...@,
6,,@오래된 <pend>스마트폰</pend> 이군..@,스마트폰 습득
7,,@배터리가 없나? 켜지지가 않는걸@,
8,,@충전만 가능하다면 <wiggle>손전등</wiggle>으로도 쓸 수 있겠어@,
9,,오래된 충전기가 놓여 있다. 충전은 가능할 것 같다.,스마트폰 충전기 최초
10,,책이 잔뜩 꽂혀있다. ☆①,서재 살펴보기1
11,,@주변이 어두워서 살펴보려면 시간이 좀 걸리겠는걸.@☆①,서재 살펴보기2
12,,@뭔가 특별한게 있으려나?@☆①,서재 살펴보기3
13,,자세히 보니 최근에도 꺼내본 흔적이 있는 책이 있다.,서재 성공
14,,@단탈리온의 시집 제 3권 이라...@,
15,,책을 조금 살펴보니 자주 펴 본 듯^ 한번에 펴지는 페이지가 존재했다.,
16,,@제목^ 베르테르와 시계추.@,
17,,@베르테르는 시계추를 사랑했다네. \n그래서 그와 같이 움직인다네 @,
18,,@<pend>북쪽</pend>^ <pend>북동쪽</pend>^ <pend>동쪽</pend>^ <pend>남동쪽</pend>^ <pend>남쪽</pend>으로.@,
19,,@그리고 다시 <pend>남남서쪽</pend>^ <pend>남쪽</pend>^ <pend>남동쪽</pend>으로.@,
20,,자세히 들여다 보았지만 특별하게 눈에 띄는 것은 없었다.,서재 실패1
21,,@음... 특별하게 인상깊은건 없는걸@,서재실패2
22,,@핸드폰 빛으로 살펴봐서 그런지 잘 안보이는걸...@,서재 실패3
23,,@오오... 이건 내가 어릴 때 좋아하던 동화책이잖아?@,서재 대성공
24,,@이 서가의 주인이 누군진 몰라도 취향이 잘 맞는걸.@,
25,,@읏... 이런.@,서재 대실패
26,,한 손으로 서가를 떠들어 보다가 그만 손가락을 종이에 베어버렸다.,
27,,중년의 남성이 침대위에 앉아있다.☆②,중년남자 살펴보기1
28,,손에 권총을 들고 있는 중년 남성이다.☆②,중년남자 살펴보기2
29,,눈이 퀭한체로 권총을 바라보며 작게 중얼대고 있다.☆②,중년남자 살펴보기3
30,,@안녕하세요. 혹시 여기가 어딘지 알 수 있을까요?@,중년남자 대화1
31,중년남성,@........@,
32,,@저기요...?@,
33,,말을 걸어도 전혀 쳐다보지 않고 있다.,
34,,중년 남성은 권총의 약실을 돌리고 있다.,중년남자 대화2
35,,@저기... 그 총은..?@,
36,중년남성,@......다 내 탓이야. 내가 막았어야 했는데.@,
37,,@네? 무슨 말씀이시죠?@,
38,중년남성,@그 때로 다시 돌아갈 수만 있다면 으으..@,
39,,여전히 고개를 숙인체 떨리는 손으로 권총을 쥐고있다.,
40,,@...불길한 예감이 드는데.@,
41,,@아저씨 무슨 일이 있으셨는지 모르겠지만 일단 진정해 보세요.@,중년남자 대화3
42,중년남성,@진정..? 진정하라고? 난 차분해. 내 인생에서 가장 싸늘하게 차분하다고.@,
43,,@알겠어요. 알았어... 그럴일은 없겠지만 일단 손에 그거부터 내려놓고 이야기해 보자구요.@,
44,중년남성,@......@,
45,중년남성,@.............그래@,
46,,@좋아요. 우선 제가..@,
47,중년남성,@그래. 그 얘 에게도 그런 말을 해줄 수 있는 사람이 곁에 있었다면....@,이후 자살
48,,@허..헉... 뭐^ 뭐야 제기랄. 갑자기...@,"대화3,자살이후"
49,,@이게 대체 무슨 일이.. 대체 무슨일이 벌어지고 있는거야!?@,
50,,@젠장할...@,
51,,잘 풀어서 그를 설득해 보려 했지만 오히려 역효과를 낸 듯 하다.,중년남성 설득 대실패
52,중년남성,@뭐...? 너가 뭘 안다고 지껄이고 있는거야?@,
53,,@저기^ 진정 하세요. 그런게 아니라....@,
54,중년남성,@그런걸 보게 된 내 심정을 너 따위가 어떻게 아느냔 말이야..!!@,
55,,어느세 보니 총구는 당신을 향해 있었다.,
56,,@이봐요..! 진정..@,총맞음
57,중년남성,@...지금 당장에라도 자기 머리에 철탄을 박아 넣으려는 사람을 열받게 하면 그렇게 되는거야.@,
58,중년남성,@이제와서 한명 더 죽게 하는 걸로 죄책감 따위 느낄까 보냐.@,
59,,그를 설득해보려는 시도가 잘 풀리지 않았다.,중년남성 설득 실패1
60,중년남성,@......그냥 내버려 둬.@,
61,,다시 한 번 그를 설득해 보았지만 그 결과는 역효과였던 것 같다.,중년남성 설득 실패2
62,중년남성,@자꾸 귀찮게 하지마...! 아니...@,
63,중년남성,@그렇게 말할 필요도 없겠군.@,(탕- 자살)
64,,당신의 설득이 효과가 있는 듯 보이지만 아직 부족한 것 같다.,중년남성 설득 성공1
65,중년남성,@그래.. 네 말이 맞을 지도 모르지만 여전히 난 그 죄에서 자유로울 수 없어.@,
66,,당신의 말에 그는 완전히 설득 되었디.,중년남성 설득 성공2 or 대성공
67,중년남성,@......그래 네가 그렇게 까지 말한다면.@,
68,,그렇게 말하고 그는 형체가 무너지듯 눈 앞에서 완벽히 사라져 그의 손에 들려있던 권총만이 침대에 남았다.,
69,,@휴... 아슬아슬했어.@,
70,,중년 여성이 퀭한 눈으로 목제 의자에 앉아 있다.☆③,중년 여성 살펴보기1(밧줄x)
71,,그녀의 눈에는 아무것도 비추어 지지 않고 있다.☆③,중년 여성 살펴보기2(밧줄x)
72,,어느새 그녀의 손에 밧줄이 들려있다.☆③,중년 여성 살펴보기1(밧줄O)
73,,여전히 그녀의 퀭한 눈에는 아무것도 비추어 지지 않고 있다.☆③,중년 여성 살펴보기2(밧줄O)
